Timestamp,Teilbereich der Ausbildung,Unterkategorie des Teilbereichs,Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Fachbereichs,Kommentar,Fachbegriff,Inhalt,Kommentar,Definition,Erläuterung,Praxisbeispiel aus der Wirtschaft,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage ,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Antwort),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2,Begründung 1.2,Antwortmöglichkeit 1.3,Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Frage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung der Reihenfolge,Skizze,Beispiel-Rechnung ,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Lösung),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2,Begründung 1.2,Antwortmöglichkeit 1.3,Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Lernfrage,Skizze,Antwortmöglichkeit 1.1 (bitte richtige Wahl),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2 (bitte richtige Wahl),Begründung 1.2 (bitte hier immer die richtige Antwort),"Antwortmöglichkeit 1.3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Leere Tabelle,Fragestellung,Lösung (ergänzte Tabelle),Begründung,Skizze
11/02/2020 13:04:25,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,,Wirtschaftlichkeit der Lagerhaltung,,,,,,,,,,,,,,Variable Lagerhaltungskosten,Artikel/Definition/Beispiel,,Variable Lagerhaltungskosten verändern sich mit der Menge oder dem Wert der eingelagerten Ware,"1. Personalkosten
- Löhne für Aushilfskräfte
2. Sachkosten der Lagerräume und -einrichtung 
- Energieverbrauch für Fördermittel
2.1 Sachkosten des Lagerguts
- Abschreibungskosten wegen Schwund/ Preisverfall/ Verderb
- Zinskosten für ins Lagergut investierte Kapital
- Versicherungskosten Lagergut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 13:07:00,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,,Sozialversicherungen,,,,,,,,,,,,,,,,,Arbeitslosenversicherung (AV),Artikel/Definition/Beispiel,,"Versicherung, welche das vorrangige Ziel hat, arbeitssuchenden Personen während ihrer Arbeitssuche das Einkommen zu sichern.","- beträgt 3% des Bruttolohns
- wird zu je 50% von Arbeitgeber & Arbeitnehmer getragen
-> 3,0 : 2 = 1,5% von seinem Bruttolohn muss der Arbeitnehmer abführen",,"Krankenversicherung (KV), Pflegeversicherung (PV), Rentenversicherung (RV), Beitragsbemessungsgrenze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 13:18:03,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,,Wirtschaftlichkeit der Lagerhaltung,,,,,,,,,,,,,,Lagerhaltungskosten,Mehrfachantwortaufgabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Welche der folgenden Kosten sind Fixe Lagerhaltungskosten?,,Gehälter für Stammpersonal,Gehälter für das Stammpersonal existieren immer und entstehen unabhängig von der Menge oder dem Wert der eingelagerten Ware,Grundsteuer für das Grundstück,Die Grundsteuer für das Grundstück bleibt immer gleich und verändert sich nicht mit dem Wert der Ware oder der Menge,R: Zinskosten für investiertes Kapital in Gebäude und Grundstück,"Das Geld, was man in das Grundstück und das daraufstellende Gebäude investiert hat, wird nicht mehr oder weniger aufgrund von Menge oder Wert der Ware",Löhne für Aushilfskräfte,"Das gehört zu Variablen Lagerhaltungskosten, da sie sich mit der Menge oder dem Wert der eingelagerten Ware verändern. Z.B. braucht man bei mehr Ware auch mehr Aushilfskräfte. die die Ware z.B. einsortieren oder verräumen",Versicherungskosten des Lagergutes,"Das gehört zu den variablen Lagerhaltungskosten, da die. Versicherung teurer. wird je mehr Gut im Lager vorhanden ist und wie wertvoll das Gut ist.",,,,,,,,,,,,,,,,,,,,,
11/02/2020 13:22:20,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,,Sozialversicherungen,,,,,,,,,,,,,,,,,Rentenversicherung (RV),Artikel/Definition/Beispiel,,"Versicherung, welche bei Erreichung der Altersgrenze der/des Versicherten, bei Berufs- oder Erwerbsunfähigkeit oder im Falle des Todes Rente (1a) an die Versicherte bzw. den Versicherten oder an die Hinterbliebenen zahlt","- beträgt 18,7% des Bruttolohns
- wird zu je 50% von Arbeitgeber & Arbeitnehmer getragen
-> 18,7 : 2 = 9,35% von seinem Bruttolohn muss der Arbeitnehmer abführen",,"Krankenversicherung (KV), Pflegeversicherung (PV), Arbeitslosenversicherung (AV), Beitragsbemessungsgrenze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 13:31:42,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,Eigen- und Fremdlagerung,,,,,,,,,,,,,,,Eigenlager,Artikel/Definition/Beispiel,,"Bei Eigenlagerung ist der ganze Lagerbereich im. Besitz eines Unternehmens, sie teilen sic den Lagerraum also nicht","Vorteile:
- Keine Abhängigkeit vom Lagerhalter (eigenes Personal)
- Kontrolle leichter möglich
- Direktor Kundenkontakt (vor allem bei Selbstabholer (Cash & Carry))
Nachteile:
- Hohe Geldinvestition
- Hohe Fixkosten 
- evtl. überschüssiger Platz","Ein Schmuckgroßhandel möchte sich ein neues Lager zulegen. Sie entscheiden sich für ein Eigenlager, da die Ware einen hohen Wert hat und sie sie besonders schützen und kontrollieren wollen. So können auch keine bzw. kaum betriebsfremde Personen in Kontakt mit der Ware kommen was die Sicherheit der Güter noch mehr gewährleisten kann. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 13:53:32,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,Eigen- und Fremdlagerung,,,,,,,,,,,,,,,Fremdlager,Artikel/Definition/Beispiel,,"Bei einem Fremdlager. mietet ein Unternehmen meist nur eine gewisse Anzahl an Quadratmetern in einem Lager, teilt sich die Lagerhalle also mit anderen Unternehmen.","Vorteile Fremdlager:
- Nähe zum Kunden/ Lieferant
- Nutzung des ""Allround-Servide"" des Lagerhalters z.B. Versicherung 
- Bezahlung nur für die tatsächlich genutzte Fläche
- Kostengünstige Nutzung von Speziallagern (Gefahrenlagern)
Nachteile:
- begrenzte Kapazitäten
- geringere Kontrolle
- fremdes Personal","Ein neues Unternehmen möchte sich sein erstes Lager zulegen. Sie entscheiden sich für ein Fremdlager, da sie nicht so viel Platz benötigen um ein komplettes Lager zu füllen und die Investitionen gering sind. Des weiteren hat ihr Produkt keine besonderen Lagerbedingungen, kann also problemlos von betriebsfernen Personen bearbeitet werden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 14:03:01,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,Eigen- und Fremdlagerung,,,,,,,,,,,,,,,Eigenlager,Mehrfachwahlaufgabe (Multiple Choice),,,,,,,,Welche der folgenden Aussagen ist KEIN Vorteil von Eigenlagern?,Nähe zum Kunden/ Lieferant,"Das ist ein Vorteil von Fremdlagern, da sie einem die Freiheit geben sich auf die Kunden und Lieferanten zu konzentrieren und man sich nicht mit den Nutzungskosten etc. des Lagers her,schalgen muss.",Keine Abhängigkeit vom Lagerhalter,Das ist ein Vorteil von Eigenlagern ,Kontrolle leichter möglich,Das ist ein Vorteil von Eigenlagern,Direkter Kundenkontakt,Das ist ein Vorteil von Eigenlagern ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 14:15:36,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,Eigen- und Fremdlagerung,,,,,,,,,,,,,,,Fremdlager,Mehrfachwahlaufgabe (Multiple Choice),,,,,,,,Was ist KEIN Vorteil von Fremdlagern,Kontrolle leichter möglich,"Das ist ein Vorteil von Eigenlagern, da durch die eigene Organisation der Vorgänge etc. im Lager. ein Unternehmen so alles im Blick hat","Nutzung des ""Allround-Service""",Das ist ein Vorteil von Fremdlagern,Bezahlung nur für tatsächlich genutzte Fläche,Das ist ein Vorteil von Fremdlagern ,Kostengünstige Nutzung von Speziallagern,Das ist ein Vorteil von Fremdlagern ,Nähe zum Kunden/ Lieferanten,Das ist ein Vorteil von Fremdlagern ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 14:43:55,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,,Ordnungssysteme der Lagerhaltung,,,,,,,,,,,,,,Lagertätigkeiten: Einlagerung der Ware,Artikel/Definition/Beispiel,,Die Einlagerung der Ware ist abhängig von ihren Eigenschaften,"Merkmale:                              Lagergrundsatz: 
1. Art des Lagergutes           Gleiche Ware zusammen (aus Kommisioniergründen)
2. Wert des Lagergutes        Wertvolle Ware in Sichtweite, wenigerwertvolle Ware weiter hinten (Diebstahlschutz)
3. Transporteigenschaften   Schwere Ware am Boden bzw. unten und vorne, leichte Ware hoch lagern bzw. oben und hinten
4. Zugriffshäufigkeit               Häufig verlangte Ware (""Kenner"") in Griffnähe, selten verlangte Ware (""Penner"") oben und hinten
5. Reihenfolge der Warenausgabe     
Fifo Methode: ältere Ware wird zuerst entnommen (z.B. bei Lebensmitteln)
Lifo Methode: Zuletzt eingelagerte Ware wird zuerst wieder ausgelager","Ein Einrichtungsgroßhandel möchte neue Kissen zu seinem Sortiment hinzufügen und ins Lager einlagern.
Die Sortierung nach Merkmalen verläuft dann so:
1. Art des Lagergutes: Der Großhändler wird darauf achten, dass sich die Kissen bei anderen Textilien befinden.
2. Wert des Lagergutes: Da die Kissen eher günstig sind, stehen sie weiter hinten.
3. Transporteigenschaften: Durch das geringe Gewicht der Kissen können sie hoch gelagert werden.
4. Zugriffshäufigkeit: Da die Kissen durch ihren attraktiven Preis ein häufig gekauftes Produkt sind werden sie in Griffnähe gelagert 
5. Reihenfolge Der Warenausgabe: Lifo (Last-in-first-out) da die Kissen nicht schlecht werden können ist es egal, ob die neusten oder ältesten Produktionen zuerst entnommen werden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 14:59:12,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,,Ordnungssysteme der Lagerhaltung,,,,,,,,,,,,,,Warenpflege,Artikel/Definition/Beispiel,,"Wer Ware lagert, muss sich um diese kümmern und die Qualität gewährleisten ","- Lager und Ware sauber halten
- Bei Lebensmitteln Mindesthaltbarkeitsdatum kontrollieren
- Luftfeuchtigkeit kontrollieren
- Ware regelmäßig kontrollieren
- Güter vor Lichteinwirkung schützen
- Temperatur kontrollieren ","Lebensmittelgroßhändler müssen besonders darauf achten, dass ihre Ware die Qualität beibehält und nicht schlecht wird. Deshalb sind z.B. Sauberkeit, Temperatur und Lichteinwirkung existentiell für die Lebensmittelgroßhändler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 15:02:42,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,,Ordnungssysteme der Lagerhaltung,,,,,,,,,,,,,,Auslagerung,Artikel/Definition/Beispiel,,Sobald Produkte verkauft werden oder allgemein aus dem Lager entwendet werden müssen sie ausgelagert werden,"- Überprüfung der gepackten Ware in Art, Menge und Qualität gemäß des Kundenauftrags
   -> Warenausgangskontrolle
- Verpacken für den Versand
- Versand an Kunden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 15:22:08,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,,Sozialversicherungen,,,,,,,,,,,,,,,,,Beitragsbemessungsgrenze,Artikel/Definition/Beispiel,,"Die Beitragsbemessungsgrenze gibt bei Arbeitnehmern die maximale Höhe des Arbeitsentgelts an, das zur Berechnung der Kranken- und Pflegesicherungsbeiträge / Arbeitslosen- und Rentenversicherungsbeiträge herangezogen wird.","Ist der Betrag, bis zu welchem der Bruttolohn bzw. das Arbeitsentgeld eines gesetzlich Versicherten für die Beiträge der gesetzlichen Sozialversicherung herangezogen wird. Der Teil des Einkommens der diese Grenze übersteigt, bleibt für die Beitragsberechnung außer Betracht.
-> Beitragsbemessungsgrenze KV/PV = 4350€
-> Beitragsbemessungsgrenze AV/RV = 6350€",,"Krankenversicherung (KV), Pflegeversicherung (PV), Arbeitslosenversicherung (AV), Rentenversicherung (RV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 15:23:34,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,,Ordnungssysteme der Lagerhaltung,,,,,,,,,,,,,,Lagerkennzahlen,Artikel/Definition/Beispiel,,,"Durchschnittlicher Lagerbestand = 
(Anfangsbestand + Summe der 12 Monatsendbestände) : 13 

Wareneinsatz =
Summe aller Abgänge zu Einstandspreisen

Umschlagshäufigkeit =
Wareneinsatz : Durchschnittlicher Lagerbestand

Durchschnittliche Lagerdauer = 
Tage der Periode (360) : Umschlagshäufigkeit

Lagerzinssatz = (Marktüblicher Zinssatz x durchschnittliche Lagerdauer) : Tage der Periode (360)

Lagerzinsen in € =
durchschnittlicher Lagerbestand x Einstandspreis x Lagerzinssatz

Meldebestand= 
Mindestbestand + (Tagesverbrauch x Lieferzeit)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2020 15:29:43,"Logistische Prozesse planen, steuern und kontrollieren",,,,,,,,,,,,Ordnungssysteme der Lagerhaltung,,,,,,,,,,,,,,Lagerkennzahlen,Zuordnungsaufgabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durchschnittlicher Lagerbestand,(Anfangsbestand + Summe der 12 Monatsbestände) : 13,Umschlagshäufigkeit,Wareneinsatz : durchschnittlicher Lagerbestand,durchschnittliche Lagerdauer ,Tage der Periode (360) : Umschlagshäufigkeit,Lagerzinssatz,(Marktüblicher Zinssatz x durchschnittliche Lagerdauer) : Tage der Periode (360),Lagerzinsen in €,durchschnittlicher Lagerbestand x Einstandspreis x Lagerzinssatz ,,,,,,,,,,,
11/02/2020 16:51:30,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,,Entgeltabrechnung,,,,,,,,,,,,,,,,,Lohnsteuerklassen,Artikel/Definition/Beispiel,,"Die Steuerklasse bestimmt die Höhe der steuerlichen Abzüge bei nichtselbständiger Arbeit. Sie ist somit für jeden Arbeitnehmer relevant, der Steuern zahlt. Die Lohnsteuerklasse reguliert den Lohnsteuerabzug, den Solidaritätszuschlag und die Kirchensteuer, falls der Steuerzahler zu einer Kirche gehört.","Übersicht über die Lohnsteuerklassen

- Steuerklasse 1: Ledige, verwitwete, geschiedene sowie verheiratete Arbeitnehmer, welche dauerhaft getrennt leben.
- Steuerklasse 2: Arbeitnehmer der Steuerklasse 1 mit mindestens einem Kind.
- Steuerklasse 3: Verheiratete Arbeitnehmer, die nicht dauernd getrennt leben und deren Ehepartner kein Arbeitslohn beziehen oder auf gemeinsamen Antrag auf Steuerklasse 5 eingestuft werden.
- Steuerklasse 4: Verheiratete, die beide Arbeitslohn beziehen und nicht dauerhaft getrennt leben.
- Steuerklasse 5: Arbeitnehmer der Steuerklasse 4, wenn einer der Ehegatten auf gemeinsamen Antrag in die Steuerklasse 3 eingestuft wird.
- Steuerklasse 6: Für eine zweite und alle weiteren Lohnsteuerkarten eines Arbeitnehmers, der gleichzeitig Arbeitslohn von mehreren Arbeitgebern bezieht.","Robin ist Auszubildender, unverheiratet sowie ohne Kinder. Er wird somit nach Lohnsteuerklasse 1 besteuert.",Kinderfreibetrag ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 10:44:29,Aufträge kundenorientiert bearbeiten,,Rechtsfähigkeit,,,,,,,,,,,,,,,,,,,,,,,,Beschränkte Geschäftsfähigkeit ,Artikel/Definition/Beispiel,,"Die Rechtsgeschäfte, die beschränkt Geschäftsfähige schießen, sind schwebend unwirksam. ","Personenkreis:
- Vom vollendenden 7. Lebensjahr bis zum vollendeten 18. Lebensjahr 
- Wegen Trunk-, Rauschgift-, Verschwendungssucht vom Gericht für bestimmte Geschäfte als beschränkt Geschäftsfähig erklärte Personen 
- Unter vorläufige Vormundschaft gesetzte Personen 

Rechtsfolge:

1. Rechtsgeschäft bringt nur rechtliche Vorteile 
- Einwilligung des gestzl. Vertreters nicht notwendig (z.B. Schenkung) 

2. Rechtsgeschäft bringt keinen rechtlichen Vorteil
-Einwilligung des gesetzl. Vertreters notwendig!
   2.1. Einwilligung liegt vor 
   - Rechtsgeschäft gültig 
   2.2. Einwilligung liegt nicht vor 
   - Rechtsgeschäft ist schwebend unwirksam 
      2.2.1. Gesetzl. Vertreter genehmigt Rechtsgeschäft innerhalb von 2 Wochen
      - Rechtsgeschäft ist gültig 
      2.2.2. Gesetzl. Vertreter genehmigt nicht/schweigt/genehmigt erst nach 2 Wochen 
      - Rechtsgeschäft ist ungültig 

Achtung begriffe:
   Einwilligung = Zustimmung vor Abschluss des Rechtsgeschäfts 
   Genehmigung = Zustimmung nach Abschluss des Rechtsgeschäfts 

  Besonderheiten:
   - Taschengeld
   - Verwendung überlassener Mittel für bestimmte Zwecke bzw. zur freien Verfügung,
      jedoch keine Ratenzahlung 
     Arbeitsverhältnis
   - Rechtsgeschäfte innerhalb eines genehmigten Arbeitsverhältnisses ","Herr Vogel, Leiter der Großmarkthalle, kauft einem Freund betrunken in einer Bar zwei Paletten überteuerte Socken ab. ",Geschäftsunfähigkeit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 10:44:34,Aufträge kundenorientiert bearbeiten,,Geschäftsfähigkeit,,,,,,,,,,,,,,,,,,,,,,,,Voll Geschäftsfähig ,Artikel/Definition/Beispiel,,"Die Fähigkeit, rechtsgeschäftliche Willenserklärungen abzugeben.","Personenkreis: 
   Ab vollendeten 18. Lebensjahr 

Rechtsfolge:
   Willenserklärung sind unbeschränkt gültig, es sei denn, man ist nicht im Besitz seiner
   vollen geistigen Fähigkeiten ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 11:21:13,Aufträge kundenorientiert bearbeiten,,Vertragsfreiheit,,,,,,,,,,,,,,,,,,,,,,,,Aspekte der Vertragsfreiheit ,Artikel/Definition/Beispiel,,Die grundsätzliche Freiheit bei der Gestaltung von Verträgen.,"Aspekte der Vertragsfreiheit:

   Abschlussfreiheit: 
   Das Recht zu entwickeln, ob und mit wem man einen Vertrag schließen möchte

   Inhaltsfreiheit:
   Freie Bestimmung der vertraglichen Regelwege

   Formfreiheit:
   Prinzipiell gibt es keine Formvorschriften, es besteht jedoch bei bestimmten
   Rechtsgeschäften ein sogenannter Formzwang

   Aufhebungsfreiheit:
   Das Recht, sich von geschlossenen Verträgen zu lösen.","- Mietvertrag
- Kaufvertrag 
- Leasingvertrag 
- Arbeitsvertrag ",Nichtige Rechtsgeschäfte ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 11:21:15,Aufträge kundenorientiert bearbeiten,,Vertragsfreiheit,,,,,,,,,,,,,,,,,,,,,,,,Nichtige Rechtsgeschäfte ,Artikel/Definition/Beispiel,,Das Rechtsgeschäft ist von Anfang an ungültig,"§ 117 BGB:       Scheingeschäft
§ 118 BGB:       Scherzgeschäft 
§ 134 BGB:       Geseztesverstoß 
§ 125 BGB:       Formverstoß
§ 138 BGB:       Sittenverstoß
§ 105/2 BGB:   Trunkenheit 
§ 106 ff. BGB:  Willenserklärung von beschränkt Geschäftsfähigen
§ 104 f. BGB:   Willenserklärung von Geschäftsunfähigen ",,Vertragsfreiheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 12:04:45,Aufträge kundenorientiert bearbeiten,,Anfechtbare Rechtsgeschäfte,,,,,,,,,,,,,,,,,,,,,,,,Arglistige Täuschung (§123 Abs. 1 BGB),Artikel/Definition/Beispiel,,"Eine arglistige Täuschung ist jede vorsätzliche  Einwirkung auf das intellektuelle Vorstellungsbild eines anderen, mit dem Ziel eine Fehlvorstellung über Tatsachen hervorzurufen.",Eine arglistige Täuschung kann innerhalb eines Jahres nach Entdeckung der Täuschung angefochten werden (§124 BGB).,Versteckte Mängel ,Wiederrechtliche Drohung / Irrtum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 12:04:46,Aufträge kundenorientiert bearbeiten,,Anfechtbare Rechtsgeschäfte,,,,,,,,,,,,,,,,,,,,,,,,Wiederrechtliche Drohung (§123 Abs. 1 BGB) ,Artikel/Definition/Beispiel,,"Eine Drohung ist das Inaussichtstellen eines zukünftigen Übels, auf dessen Eintritt der Drohende Einfluß zu haben vorgibt. Widerrechtlich ist die Drohung, wenn das angedrohte Übel, der erstrebte Erfolg oder das Verhältnis aus beidem rechtswidrig ist.",Eine widerrechtliche Drohung kann  innerhalb eines Jahres nach Wegfall der Zwangslage angefochten werden (§124 BGB).,Erpressung ,Arglistige Täuschung / Irrtum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 12:04:50,Aufträge kundenorientiert bearbeiten,,Eigentum & Besitz,,,,,,,,,,,,,,,,,,,,,,,,Irrtum ,Artikel/Definition/Beispiel,,"Ein Irrtum liegt vor, wenn Vorstellung des Täters und die Wirklichkeit nicht übereinstimmen. Ein Irrtum kann auf Unkenntnis oder irriger Annahme beruhen und unterschiedliche Bezugspunkte haben.","Erklärungsirrtum (§119 Abs. 1 BGB):
   Wenn der Erklärende bei Abgabe seiner Willenserklärung andere Erklärungszeichen 
   angibt als er will 

Inhaltsirrtum (§119 Abs. 1 BGB):
   Die Willenserklärung wird vom Empfänger anders verstanden, als es der Erklärende will

Eigenschaftsirrtum (§119 Abs. 2 BGB):
   Wenn der Erklärende über seine Eigenschaften einer Person oder Sache sich bei Abgabe 
   der Willenserklärung irrt 

Übermittlungsirrtum (§119 Abs. 2 BGB):
   Wenn ein Bote die Willenserklärung falsch übermittelt 

In diesen vier Fällen muss unverzüglich nach der Entdeckung des Irrtum angefochten werden. (§121 BGB) 


Ausnahme: 

Motivirrtum:
   z.B: Käufer denkt, er macht ein Schnäppchen sieht das gleiche Produkt, aber in einem 
   anderen Laden noch günstiger.
   -> nicht Anfechtbar  ","- verschreiben oder versprechen

- Falschverwendung von Worten

- Ring ist aus Messing, statt Gold",Arglistige Täuschung / Wiederrechtliche Drohung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 13:57:22,Aufträge kundenorientiert bearbeiten,,Eigentum & Besitz,,,,,,,,,,,,,,,,,,,,,,,,Gutgläubiger Eigentumserwerb (Eigentumserwerb von Nichteigentümer),Artikel/Definition/Beispiel,,"Der Käufer wird Eigentümer, wenn er den Verkäufer für den Eigentümer hält (in ""guten Glauben"" kaufen).","Gilt bei: 
- Geld  
- Inhaberpapieren  
- Versteigerte Sachen aus öffentlichen Auktionen (nicht Ebay) 

Gilt nicht bei:
- gestohlenen Sachen 
- verloren gegangenen Sachen 
- sonst abhanden gekommen Sachen 

",,Eigentumsübertragung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2020 13:57:23,Aufträge kundenorientiert bearbeiten,,Eigentum & Besitz,,,,,,,,,,,,,,,,,,,,,,,,Eigentumsübertragung ,Artikel/Definition/Beispiel,,Bei einer Eigentumsübertragung übergibt der Eigentümer die rechtliche Herrschaft über die Sache.,"Bei unbeweglichen Sachen:
   Notarielle beurkundete Eignung (= Auffassung) + Eintragung im Grundbuch 

Bei beweglichen Sachen: 
   Die Sache befindet sich beim Verkäufer 
   -> Einigung + Übergabe an den Käufer 

   Die Sache befindet sich im Besitz des Käufers
   -> Einigung 

   Die Sache befindet sich im Besitz von Dritten 
   -> Einigung + Abtretung des Herausgabeanspruch 

   Der Käufer will Eigentümer werden, der Verkäufer jedoch unmittelbarer Besitzer bleiben
   -> Einigung + Vereinbarung eines Besitzmittlungsverhältnis (Besitzkonsitution) ","- Kauf eines Grundstückes 

- Verkauf eines Autos 

- Kauf auf Rechnung

- Kauf einer einer Wohnung mit Mieter

- Verkauf einer Wohnung, ehemaliger Eigentümer will dort weiter wohnen ",Gutgläubiger Eigentumserwerb ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
