Timestamp,Teilbereich der Ausbildung,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Fachbereich,Fachbegriff,Inhalt,Fachbegriff,Definition,Erläuterung,Praxisbeispiel,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage,Antwortmöglichkeit 1 (bitte hier immer die richtige Antwort),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung,Beispielrechnung,Skizze,Antwortmöglichkeit 1 (bitte hier immer die richtige Lösung),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwortmöglichkeit 1 (bitte richtige Wahl),Begründung 1,Antwortmöglichkeit 2 (bitte richtige Wahl),Begründung 2,"Antwortmöglichkeit 3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Skizze,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Skizze (Leere Tabelle),Fragestellung,Lösung (ergänzte Tabelle),Begründung,Kommentar
09/02/2020 10:34:59,Veranstaltungen und Geschäftsreisen organisieren,,,,,,,,,,,,Protokolle,,,,Vollprotokoll,Mehrfachwahlaufgabe (Multiple Choice),Vollprotokoll,,,,,,,"Wie wird das ""Vollprotokoll"" noch genannt?","""Wortprotokoll""","Richtig, da alles in wörtlicher Rede und in genauem Wortlaut festgehalten wird.","""Gedächtnisprotokoll""","Nein, das ist eine andere Form des Protokolls, in dem alles aus der Erinnerung heraus konsturiert wird.",Beschlussprotokoll,"Das Beschlussprotokoll ist nichts anderes als das Ergebnisprotokoll, in dem nur die Entscheidungen festgehalten werden.",Ablageprotokoll,Diese Art des Protokolls gibt es nicht.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 10:38:18,Veranstaltungen und Geschäftsreisen organisieren,,,,,,,,,,,,Protokolle,,,,Arten des Protokolls,Zuordnungsaufgabe,Vollprotokoll; Verlaufsprotokoll; Ergebnisprotokoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wiedergabe aller Beträge vollständig, chronologisch und wortgenau.",Wortprotokoll,Zusammenfassung wesentlicher Entscheidungen.,Beschlussprotokoll,,,Festhalten von Redebeiträgen in indirekter Rede.,Verlaufsprotokoll,,,,,,,,,,,,,
09/02/2020 10:44:29,Veranstaltungen und Geschäftsreisen organisieren,,,,,,,,,,,,Veranstaltungen,,,,Arten,Artikel/Definition/Beispiel,Betriebliche Veranstaltungen,"Eine betriebliche Veranstaltung ist ein geplante Ereignis, an dem eine Gruppe von Menschen teilnimmt.","Veranstaltungen wie Tagungen oder Geschäftsreisen müssen gründlich vorbereitet werden, um einen reibungslosen Ablauf zu gewährleisten. Um sicherzustellen, dass nichts vergessen wird, eignen sich Checklisten.",,Checklisten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 10:51:46,Veranstaltungen und Geschäftsreisen organisieren,,,,,,,,,,,,Veranstaltungen,,,,"Checklisten, Vorschriften und Versicherungen",Artikel/Definition/Beispiel,"Checklisten, Vorschriften und Versicherungen","Damit nichts bei der Planung einer Veranstaltung untergeht, empfiehlt es sich mit Checklisten zu arbeiten.","Wesentliche Inhalte einer Checkliste für eine Tagung:
- Terminabsprache
- Tagungsraum und Unterbringung
- Kostenübernahme
- Referenten
- Programm
- Einladungsschreiben
- Unterlagen

Da unter Umständen gesetzliche Vorschriften eingehalten werden müssen, ist es notwendig, sich auch darüber Gedanken zu machen. Auch Versicherungen spielen eine Rolle:
- Veranstaltungshaftpflichtversicherung
- Versammlungsstätten- und Lärmschutzverordnung
- Brand- und Diebstahlversicherung
- Jugendschutzgesetz",,"Veranstaltungen, Geschäftsreise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 11:11:31,Veranstaltungen und Geschäftsreisen organisieren,,,,,,,,,,,,Sitzungen vs. Besprechung,,,,Unterschied zwischen Sitzung und Besprechung,Artikel/Definition/Beispiel,Sitzung und Besprechung,"Eine Sitzung ist ein Zusammentreffen mehrerer Personen zur Erreichung von Ergebnissen zu einem vorgegeben Thema.  Eine Sitzung wird vorab geplant und ist mit Formalitäten wie Einladung, Tagesordnung und Protokoll verbunden.

Bei einer Besprechung hingegen tauscht nur eine kleine Gruppe Informationen aus. Formalitäten gibt es hierbei nicht.",,"Aufsichtsratssitzung
Abteilungs- oder Teambesprechungen","Veranstaltungen, Checklisten",Aufgabe nicht nötig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 11:19:05,Veranstaltungen und Geschäftsreisen organisieren,,,,,,,,,,,,Geschäftsreise und Reisekostenabrechnung,,,,Geschäftsreise,Artikel/Definition/Beispiel,Geschäftsreise,"Eine Geschäftsreise ist eine durch den Beruf bedingte Reise, die außerhalb der regelmäßigen Arbeitsstätte stattfindet.","Im öffentlichen Dienst wird von Dienstreise gesprochen, in der Privatwirtschaft heißt sie Geschäftsreise.
Eine Dienst- oder Geschäftsreise kann ein- oder mehrtägig sein.",Meeting in einer anderen Niederlassung der gleichen Firma,Reisekostenabrechnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 11:24:38,Veranstaltungen und Geschäftsreisen organisieren,,,,,,,,,,,,Geschäftsreise und Reisekostenabrechnung,,,,Geschäftsreise,Artikel/Definition/Beispiel,Ablauf und Planung einer Geschäftsreise,"Um eine Geschäftsreise erfolgreich planen zu können, müssen einige Punkte von der Planung bis zur Abrechnung beachtet werden.","1. Genehmigung mittels Geschäftsreiseantrag und Aufnahme von Wünschen
2. Ermittlung des Reiseprofils
- Reisemittel (PKW, Flugzeug, ÖPVN), Unterbringung und Formalitäten (Personalausweis, Visum, Gepäck-/Diebstahlversicherung)
3. Vergleich und Auswahl
- persönliche Wünsche, Kostenfaktor, ökologischer Aspekt
4. Erstellung der Reisedokumente
- Reiseplan, Tickets und Bestätigungen, Unterlagen, Checkliste (Vertretung im Unternehmen, Zahlungsmittel, Terminabsprachen, etc.)
5. Reisekostenabrechnung",,"Geschäftsreise, Reisekostenabrechnung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 11:30:59,Veranstaltungen und Geschäftsreisen organisieren,,,,,,,,,,,,Geschäftsreise und Reisekostenabrechnung,,,,Abrechnung der Geschäftsreise,Artikel/Definition/Beispiel,Reisekostenabrechnung,Die Abrechnung einer Reise erfolgt mit Belegen und mit Erstattung an den Reisekosten.,"Zu Reisekosten zählen:
- Fahrtkosten (PKW = km-Satz 0,30 €/km, ÖPVN, Zug, …)
- Verpflegungsmehraufwendungen (pauschal: Abwesenheit > 8 Std. < 24 Std. = 12 € und Abwesenheit von 24 Std. = 24 €)
- Übernachtungskosten (Hotel: Frühstück 4,80 €, Mittagessen 9,60 €, Abendessen 9,60 €)
--> wir das Essen vom Arbeitgeber gestellt, kann man keinen Verpflegungsmehraufwand geltend machen
- Bewirtungskosten (Speisen und Getränke, Trinkgelder und Tabakwaren)
- Reisenebenkosten (Taxi- und Mietwagennutzung, Porto, Parkplatzgebühren)

NICHT: Verwarnungs- und Bußgelder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 11:48:28,Ein Projekt planen und durchführen,,,,,,,,,,,,,Was ist ein Projekt?,,,Projekt,Artikel/Definition/Beispiel,Projekt,"Ein Projekt ist eine zeitlich befristete Aufgabe, die ein Projektmanagement erfordert.","Projekte zeichnen sich meist durch die ""Einmaligkeit ihrer Rahmenbedingungen aus"".
Diese Rahmenbedingungen sind:
- eine zeitliche Begrenzung, d. h. Start- und Endtermin sind fest definiert
- ein klares Ziel
- eine projektspezifische Organisation
- evtl. eine finanzielle Begrenzung (vom Auftraggeber)",,Goldenes Dreieck des Projektmanagements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 12:00:35,Ein Projekt planen und durchführen,,,,,,,,,,,,,Projektmanagement,,,Projektmanagement,Artikel/Definition/Beispiel,Goldenes Dreieck des Projektmanagements,"Im ""Goldenen Dreieck des Projektmanagements"" werden drei Zielgrößen gegenüber gestellt, die sich alle gegenseitig beeinflussen.","Es wird vom sogenannten ""Dreieck"" gesprochen, da teils konkurrierende Beziehungen bestehen und es schwierig ist, alle Ziele gleichermaßen zu erreichen.

Die drei Projektziele sind:
- Sachziel: Was soll geplant und erreicht werden?
- Kostenziel: Budget für das Projekt?
- Terminziel: Frist des Projekts?","Werden höhere Anforderungen an das Sachziel gestellt, ist in der Regel mit einer längeren Bearbeitungszeit zu rechnen. Verschiebt sich der Termin nach hinten, ist auch mit höheren Projektkosten zu rechnen.",Projekt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 12:15:07,Ein Projekt planen und durchführen,,,,,,,,,,,,,Projektmanagement,,,Projektorganisation,Artikel/Definition/Beispiel,Reine Projektorganisation,Für die Dauer des Projekts werden Leiter und Mitarbeiter aus ihren eigentlichen Positionen herausgelöst und räumlich zusammengezogen.  ,"Bei einer reinen Projektorganisation wird eine neue Infrastruktur geschaffen. Der Projektleiter hat das Weisungsrecht bis zum Ende des Projekts. Dann kehren die Mitarbeiter und der Leiter in ihre ursprüngliche Organisation zurück.

Vorteile:
- Konzentration auf das Projekt
- kurze Kommunikationswege

Nachteile:
- organisatorischer Aufwand, da die ursprünglichen Positionen für die Dauer des Projekts neu besetzt werden müssen
- Bei Auflösung des Projektteams ist die Rückkehr auf den alten Arbeitsplatz schwierig",,"Linienorganisation, Stabsorganisation, Matrixorganisation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 12:19:13,Ein Projekt planen und durchführen,,,,,,,,,,,,,Projektmanagement,,,Projektorganisation,Artikel/Definition/Beispiel,Linienorganisation,"Das gesamte Projektteam gehört einer Abteilung an, d. h. das Projekt kann in einer Linie realisiert werden.","Stellt man sich ein typischen Organigramm vor, gibt es oben die weisungsbefugte Person, von der mehrere Linien abgehen und Stellen bilden. Von diesen Stellen gehen weitere Linien ab. Da für das Projekt nur eine ""Linie"" verwendet wird (sprich: eine Abteilung), wird es Linienorganisation genannt.

Vorteile:
- keine Versetzungsprobleme bei Projektbeginn und -ende
- kurze Kommunikationswege

Nachteile:
- nur abteilungsinterne Perspektive
- nicht immer ist das geeignete Personal für das Projekt in der eigenen Abteilung",,"Stabsorganisation, Matrixorganisation, reine Projektorganisation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 12:30:01,Ein Projekt planen und durchführen,,,,,,,,,,,,,Projektmanagement,,,Projektorganisation,Artikel/Definition/Beispiel,Stabsorganisation,"Anders als bei der Linienorganisation, benötigt der Projektleiter aus einer Abteilung Unterstützung von Mitarbeitern aus einer anderen Abteilung.","Da der Leiter nur als Auftraggeber für die Mitarbeiter der anderen Linien tätig ist, hat er kein Weisungsrecht sondern lediglich eine koordinierende Funktion.

Vorteile:
- abteilungsübergreifende Perspektive
- keine Veränderungen in bestehenden Organisationen

Nachteile:
- hoher Kommunikationsaufwand
- Projektleiter hat keine starke Position",,"Linienorganisation, Matrixorganisation, reine Projektorganisation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 12:33:34,Ein Projekt planen und durchführen,,,,,,,,,,,,,Projektmanagement,,,Projektorganisation,Artikel/Definition/Beispiel,Matrixorganisation,"Um das Projektziel zu erreichen, sind Mitarbeiter aus unterschiedlichen Abteilungen (also mehreren Linien im Organigramm) nötig.","Der Projektleiter wird für die Dauer des Projekts aus seiner Position herausgelöst und hat unter anderem Weisungsbefugnis für die Mitarbeiter.

Vorteile:
- abteilungsübergreifende Perspektiven
- keine Veränderungen in bestehenden Organisationen

Nachteile:
- hoher Kommunikationsaufwand
- Projektmitarbeiter haben zwei Vorgesetzte, weil sie sowohl im Projekt als auch in ihrer vorherigen Position arbeiten",,"Linienorganisation, Stabsorganisation, reine Projektorganisation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 12:37:49,Ein Projekt planen und durchführen,,,,,,,,,,,,,Sonstiges,,,Projektplanung,Artikel/Definition/Beispiel,Projektstrukturplan,Der Projektstrukturplan gliedert das Projekt in verschiedene Elemente und schafft eine grobe grafische Darstellung .,"Im Rahmen der Strukturierung wird das Projekt in Teilaufgaben und Arbeitspakete unterteilt. Der Plan bietet eine übersichtliche Skizze aller notwendigen Aufgaben, um das Projektziel zu erreichen.",,"Projektmanagement, Projektorganisation",Aufgabe nicht nötig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 12:42:28,Ein Projekt planen und durchführen,,,,,,,,,,,,,Sonstiges,,,Projektcontrolling,Artikel/Definition/Beispiel,Kontrolle,"Das Projektcontrolling umfasst die Steuerung und Kontrolle der einzelnen Schritte im Projekt, um das Projektziel zu erreichen.","Die Steuerung und Kontrolle erfolgt z. B. anhand von Soll-Ist-Vergleichen oder Feststellung von Abweichungen.
Ein vorausschauendes Projektcontrolling ist essentiell für ein gutes Projektmanagement.",,"Projektorganisation, Projektplanung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 12:48:47,Ein Projekt planen und durchführen,,,,,,,,,,,,,Sonstiges,,,Projektabschluss,Artikel/Definition/Beispiel,Projektabschluss,Der Abschluss bildet die letzte Phase des Projekts und dient der Überprüfung des Projekts und die Interessen der Prozessbeteiligten zur berücksichtigen.,"Werden die Interessen von den Prozessbeteiligten nicht berücksichtigt, kann es zu Unzufriedenheit kommen, obwohl das Projektziel erreicht wurde.
Interessen können sein:
- Übergabe und Vorstellung des Projekts an den Auftraggeber
- Feedback an die Projektmitarbeiter
- Implementierung des Projektergebnisses mit Schulung",,Projektcontrolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:01:46,Sonstiges,,,,,,,,,,,,,,Firma,Wirtschafts- und Sozialkunde,Firma und Firmenarten,Artikel/Definition/Beispiel,Firmenarten,"Die Firma ist der Name, mit dem der Kaufmann seine Geschäfte betreibt. Sie ist also der sogenannte Handelsname.","Es gibt verschiedene Firmenarten:
- Personenfirma z. B. Lisa Müller GmbH
- Sachfirma z. B. Computer GmbH
- Fantasiefirma z. B. Little Creations GmbH
- Mischfirma z. B. Müller Computer GmbH",,"Unternehmensformen, Firmengrundsätze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:08:57,Sonstiges,,,,,,,,,,,,,,Firma,,Firmengrundsätze,Artikel/Definition/Beispiel,Firmengrundsätze,"Führt man eine Firma, hat man verschiedene Grundsätze beachten.","- Firmenöffentlichkeit: Die Firma muss ins Handelsregister eingetragen werden.
- Firmenbeständigkeit: Bei einem Inhaberwechsel kann die bisherige Firma fortgeführt werden.
- Firmenunterscheidbarkeit: Firmen im selben Ort oder in derselben Gemeinde müssen sich deutlich voneinander unterscheiden.
- Firmenwahrheit: Die Firma muss zur Kennzeichnung des Kaufmanns geeignet sein und mit der erwähnten Berufung übereinstimmen.","Grundsatz der Firmenwahrheit:
Ich bin ein Kaufmann, der Autos repariert. Meine Firma darf Begriffe wie ""Autowerkstatt"" oder ""Autoreparatur"" enthalten, aber z. B. nicht ""Fahrradverleih"" oder ""Schreinerei"".",Firma und Firmenarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:15:07,Sonstiges,,,,,,,,,,,,,,Rechtsformen von Unternehmen,,Rechtsformen,Artikel/Definition/Beispiel,Handelsregister,Das Handelsregister ist ein amtliches Verzeichnis aller Kaufleute eines Amtsgerichtsbezirks.,"Das Handelsregister ist öffentlich, da jeder Einsicht nehmen darf und Einträge und Eintragsänderungen veröffentlicht werden.
Das Handelsregister teilt sich in 2 Abteilungen, A und B:
In Abteilung A werden Einzelkaufleute und Personengesellschaften eingetragen, in Abteilung B ausschließlich Kapitalgesellschaften.",Max M. gründet die Müller GmbH. Sein Unternehmen wird in Abteilung B im zuständigen Handelsregister des Amtsgerichts eingetragen.,"Unternehmensformen, Kaufmannsarten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:18:13,Sonstiges,,,,,,,,,,,,,,Rechtsformen von Unternehmen,,Rechtsformen,Artikel/Definition/Beispiel,Rechtsformen,Als Rechtsform bezeichnet man die rechtliche Organisationsform eines Unternehmens. Der rechtliche Rahmen einer Gesellschaft wird durch verschiedene Gesetze festgelegt. Er ist mit bestimmten Strukturmerkmalen verbunden.,"- Einzelunternehmen (Alleinunternehmer)
- Gesellschaftsunternehmen
--> Kapitalgesellschaften
--> Personengesellschaften
--> andere Gesellschaftsformen wie z. B. Genossenschaften",,"Kapitalgesellschaften, Personengesellschaften",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:23:11,Sonstiges,,,,,,,,,,,,,,Rechtsformen von Unternehmen,,Einzelunternehmen,Artikel/Definition/Beispiel,Einzelunternehmen,"In Einzelunternehmen gibt es einen Alleinunternehmer. Das bedeutet, dass er als alleiniger Inhaber haftet. Ein Einzelunternehmen kann jedoch auch Mitarbeiter beschäftigen","- Gründung: durch den Unternehmer selbst
- Kapital: Eigenkapital wird selbst aufgebracht, Höhe beliebig
- Geschäftsführung: Einzelgeschäftsführung
- Haftung: unbeschränkt, also mit Privat- und Geschäftsvermögen
- Gewinn- und Verlustverteilung: Gewinn steht dem Einzelunternehmer zu/er muss den Verlust tragen",Ein-Mann-GmbH,"Kapitalgesellschaften, Personengesellschaften",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:29:31,Sonstiges,,,,,,,,,,,,,,Rechtsformen von Unternehmen,,Personengesellschaften,Artikel/Definition/Beispiel,Offene Handelsgesellschaft,"Für eine offene Handelsgesellschaft (OHG) schließen sich mindestens zwei Beteiligte zusammen, um gemeinsam ein Handelsgewerbe zu betreiben.","- Gründung: durch min. 2 Gesellschafter
- Firma: zwingender Rechtsformzusatz ""OHG""
- Eintrag ins Handelsregister: deklaratorisch
- Kapital: Einlagen sind zu leisten, es gibt aber kein Mindestkapital
- Geschäftsführung: durch die Gesellschafter
- Haftung: unmittelbar, gesamtschuldnerisch und uneingeschränkt
- Gewinn- und Verlustbeteiligung: Gewinn: 4 % der Einlage, Rest nach Köpfen und Verlust: nach Köpfen",,"Einzelunternehmen, Kapitalgesellschaften",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:39:07,Sonstiges,,,,,,,,,,,,,,Rechtsformen von Unternehmen,,Personengesellschaften,Artikel/Definition/Beispiel,Kommanditgesellschaft,"Die Kommanditgesellschaft (KG) hat mindestens einen persönlich haftenden Gesellschafter und mindestens einen beschränkt haftenden Gesellschafter, die gemeinsam ein Handelsgewerbe betreiben.","- Gründung: durch min. 2 Gesellschafter (ein Vollhafter ""Komplementär"" und ein Teilhafter ""Kommanditist""
- Kapital: Aufbringung der Einlagen durch die Gesellschafter in beliebiger Höhe
- Haftung: Komplementäre haften gesamtschuldnerisch und uneingeschränkt (mit der Einlage und seinem Privatvermögen), Kommanditisten haften nur mit ihrer Einlage
- Geschäftsführung: durch den Komplementär (Kommanditisten sind ausgeschlossen)
- Gewinn- und Verlustbeteiligung: Gewinn: jeder erhält 4 % der Einlage, die Restverteilung ist individuell im Vertrag geregelt und Verlust: Komplementär haftet mit der Einlage und seinem Vermögen, der Kommanditist haftet nach dem Komplementär max. mit der Einlage",,"Einzelunternehmen, Kapitalgesellschaften",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:46:09,Sonstiges,,,,,,,,,,,,,,Rechtsformen von Unternehmen,,Kapitalgesellschaften,Artikel/Definition/Beispiel,Gesellschaft mit beschränkter Haftung,"Die Gesellschaft mit beschränkter Haftung (GmbH) ist für eine juristische Person des Privatrechts, wo eine Trennung der privaten Haftung und der unternehmerischen Tätigkeit vorgenommen wird. Es gibt Sonderformen wie z. B. die GmbH & Co. KG, wo die GmbH als Komplementär fungiert.","- Gründung: durch min. 1 Gründer
- Firma: die GmbH entsteht erst durch die Eintragung ins Handelsregister (konstitutiv), zwingender Rechtsformzusatz ""GmbH""
- Kapital: Bereitstellung durch die Gesellschafter mit einem Mindestkapital von 25.000 €, es muss allerdings nur eine Mindesteinlage von 12.500 € in bar geleistet werden, für den Rest wird persönlich gehaftet
- Haftung: nur mit dem Gesellschaftsvermögen (die Einlagen)
- Vertretung: der Gesellschafter kann Vollmachten zur Vertretung verteilen
- Gewinnbeteiligung: nach Gesellschaftsanteilen",,"Einzelunternehmen, Personengesellschaften",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 09:52:35,Sonstiges,,,,,,,,,,,,,,Rechtsformen von Unternehmen,,Kapitalgesellschaften,Artikel/Definition/Beispiel,Aktiengesellschaft,"Die Aktiengesellschaft (AG) ist eine Kapitalgesellschaft, deren Grundkapital in Aktien zerlegt ist.","- Gründung: durch eine oder mehrere Personen, die Aktien gegen Einnahmen übernehmen
- Firma: Handelsregistereintrag (konstitutiv)erfolgt nur bei Bezahlung des Grundkapitals, zwingender Rechtsformzusatz ""AG""
- Kapital: 50.000 € Grundkapital, setzt sich zusammen aus Nennbeträgen der Aktien
- Haftung: die Aktionäre haften mit ihrer Einlage, also dem Wert der Aktie
- Geschäftsführung: wenn der Vorstand aus mehr als 1 Person besteht, sind sie nur gemeinschaftlich zur Geschäftsführung befugt
- Gewinnbeteiligung: die Satzung bestimmt, dass Gewinnrücklagen gebildet werden, der verbleibende Rest wird an die Aktionäre als Dividende ausgeschüttet",,"Einzelunternehmen, Personengesellschaften",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 14:14:18,Sonstiges,,,,,,,,,,,,,,Handelsvollmachten und Prokura,,Handelsvollmacht,Artikel/Definition/Beispiel,Handelsvollmacht,"Die Handelsvollmacht ist die Erlaubnis und das Recht, in fremdem Namen gültige Rechtsgeschäfte abzuschließen. Sie wird durch Kaufleute oder Prokuristen erteilt.","Es gibt verschiedene Arten von Handelsvollmachten. Für alle ist die Eintragung ins Handelsregister nicht erforderlich. Es wird mit i. A. oder i. V. gezeichnet.
Beendigung der Vollmacht durch Auflösung des Arbeitsvertrags, Widerruf oder Geschäftsauflösung.",,"Arthandlungsvollmacht, Gesamthandlungsvollmacht, Einzelhandlungsvollmacht, Spezialhandlungsvollmacht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 14:17:11,Sonstiges,,,,,,,,,,,,,,Handelsvollmachten und Prokura,,Handelsvollmacht,Artikel/Definition/Beispiel,Gesamthandlungsvollmacht,Bei der Gesamthandlungsvollmacht erhält der Bevollmächtigte die Vollmacht für alle gewöhnlichen Rechtshandlungen in der Branche des Unternehmens.,,Der Handlungsbevollmächtigte einer Metzgerei hat Gesamthandlungsvollmacht. Das berechtigt ihn z.B. zum An- und Verkauf von Fleisch.,"Arthandlungsvollmacht, Spezialhandlungsvollmacht, Einzelhandlungsvollmacht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 14:19:07,Sonstiges,,,,,,,,,,,,,,Sonstiges,,Handelsvollmacht,Artikel/Definition/Beispiel,Arthandlungsvollmacht,Bei der Arthandlungsvollmacht erhält der Bevollmächtigte die Vollmacht für wiederkehrende Geschäfte bestimmter Art.,,z. B Arthandlungsvollmacht für den Bereich Einkauf oder Arthandlungsvollmacht für den Bereich Verkauf,"Gesamthandlungsvollmacht, Spezialhandlungsvollmacht, Einzelhandlungsvollmacht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 14:20:44,Sonstiges,,,,,,,,,,,,,,Handelsvollmachten und Prokura,,Handelsvollmacht,Artikel/Definition/Beispiel,Einzelhandlungsvollmacht,Die Einzelhandlungsvollmacht ist die Vollmacht für ein einzelnes Rechtsgeschäft.,,"Vollmacht, ein einziges Mal Geld bei der Bank abzuheben.","Arthandlungsvollmacht, Spezialhandlungsvollmacht, Gesamthandlungsvollmacht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2020 14:30:44,Sonstiges,,,,,,,,,,,,,,Handelsvollmachten und Prokura,,Handelsvollmacht,Artikel/Definition/Beispiel,Gesamthandlungsvollmacht,Die Gesamthandlungsvollmacht bevollmächtigt mehrere Personen gemeinschaftlich zur Vornahme von Rechtsgeschäften.,,,"Arthandlungsvollmacht, Generalhandlungsvollmacht, Einzelhandlungsvollmacht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
